Data ID	Sub System	Name	ADC No	Packet Type	Packet Subtype	Decode Type	Decode ID1	Decode ID2	Decode ID3	Decode ID4	Raw Format	Eng Format	Eng Eq Type	Eng K1	Eng K2	Sci Units	Sci Format	Sci Eq Type	Sci From Eng	Sci K1	Sci K2	Sci K3	Sci K4	Sci K5	Sci K6	Sci K7	Sci K8	Mux Ch	Eng Limit Type	Eng Yellow Limit	Eng Red Limit	Sci Limit Type	Sci Yellow Limit	Sci Red Limit
95	CDH	OS_EA1_MON	2	5	0	101	95	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	103	0	0	0	0	0	0
96	CDH	OS_EA2_MON	2	5	0	101	96	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	103	0	0	0	0	0	0
97	CDH	OS_COLA_MON	2	5	0	101	97	0	0	0	%d	%.4f	2	1	10	V	%.3f	1	TRUE	0	1	0	0	0	0	0	0	97	0	0	0	0	0	0
98	CDH	OS_COLB_MON	2	5	0	101	98	0	0	0	%d	%.4f	2	1	10	V	%.3f	1	TRUE	0	1	0	0	0	0	0	0	98	0	0	0	0	0	0
99	CDH	OS_FIL_SEL_ST	2	5	0	101	99	0	0	0	%d	%.4f	2	1	10	V	%.3f	1	TRUE	0	1	0	0	0	0	0	0	99	0	0	0	0	0	0
100	CDH	OS_+5REF_MON	2	5	0	101	100	0	0	0	%d	%.4f	2	1	10	V	%.3f	1	TRUE	0	1	0	0	0	0	0	0	100	0	0	0	0	0	0
101	CDH	OS_+13A_MON	2	5	0	101	101	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	101	0	0	0	0	0	0
102	CDH	OS_TMP	2	5	0	101	102	0	0	0	%d	%.4f	2	1	10	C	%.1f	4	FALSE	32768	18700	0.000925626	0.000222443	1.23E-07	0	0	0	102	0	0	0	0	0	0
103	CDH	OS_SPARE	2	5	0	101	103	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	103	0	0	0	0	0	0
104	CDH	CS_FIL1_VMON	2	5	0	101	104	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	104	0	0	0	0	0	0
105	CDH	CS_FIL2_VMON	2	5	0	101	105	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	105	0	0	0	0	0	0
106	CDH	CS_FIL_EMON	2	5	0	101	106	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	106	0	0	0	0	0	0
107	CDH	CS_FS1_MON	2	5	0	101	107	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	107	0	0	0	0	0	0
108	CDH	CS_EF1A_MON	2	5	0	101	108	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	108	0	0	0	0	0	0
109	CDH	CS_EF1B_MON	2	5	0	101	109	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	109	0	0	0	0	0	0
110	CDH	CS_EF2A_MON	2	5	0	101	110	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	110	0	0	0	0	0	0
111	CDH	CS_EF2B_MON	2	5	0	101	111	0	0	0	%d	%.4f	2	1	10	V	%.3f	1	TRUE	0	1	0	0	0	0	0	0	111	0	0	0	0	0	0
112	CDH	CS_AN1_MON	2	5	0	101	112	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	112	0	0	0	0	0	0
113	CDH	CS_AN2_MON	2	5	0	101	113	0	0	0	%d	%.4f	2	1	10	V	%.3f	1	TRUE	0	1	0	0	0	0	0	0	113	0	0	0	0	0	0
114	CDH	CS_IA_MON	2	5	0	101	114	0	0	0	%d	%.4f	2	1	10	V	%.3f	1	TRUE	0	1	0	0	0	0	0	0	114	0	0	0	0	0	0
115	CDH	CS_IFA_MON	2	5	0	101	115	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	115	0	0	0	0	0	0
116	CDH	CS_IFB_MON	2	5	0	101	116	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	116	0	0	0	0	0	0
117	CDH	CS_NZ_MON	2	5	0	101	117	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	117	0	0	0	0	0	0
118	CDH	CS_-5REF_MON	2	5	0	101	118	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	118	0	0	0	0	0	0
119	CDH	CS_GND_REF	2	5	0	101	119	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0.00E+00	0	0	0	119	0	0	0	0	0	0
120	CDH	CS_FIL1_IMON	2	5	0	101	120	0	0	0	%d	%.4f	2	1	10	A	%.1f	1	TRUE	0	1	0	0	0	0	0	0	120	0	0	0	0	0	0
121	CDH	CS_FIL2_IMON	2	5	0	101	121	0	0	0	%d	%.4f	2	1	10	A	%.1f	1	TRUE	0	1	0	0	0	0	0	0	121	0	0	0	0	0	0
122	CDH	CS_TRAP_MON	2	5	0	101	122	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	122	0	0	0	0	0	0
123	CDH	CS_FS2_MON	2	5	0	101	123	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	123	0	0	0	0	0	0
124	CDH	CS_EF1C_MON	2	5	0	101	124	0	0	0	%d	%.4f	2	1	10	V	%.3f	1	TRUE	0	1	0	0	0	0	0	0	124	0	0	0	0	0	0
