c3d56976-2fce-4898-b9fb-6029c1133992
t,label,value
1643116935036000,ELAPSED_SEC,19.804
1643116935036000,SCAN_INDEX,-1
1643116935036000,ANALOG_TUNE_A,0
1643116935036000,ANALOG_TUNE_B,0
1643116935036000,UPS_LOAD_%,0
1643116935036000,UPS_STATUS, 10000
1643116935036000,MO1_LD1_CURR,400
1643116935036000,MO1_LD2_CURR,399.9
1643116935036000,MO1_LD1_VOLT,2.087
1643116935036000,MO1_LD2_VOLT,2.087
1643116935036000,MO1_LD1_PD_Current,276
1643116935036000,MO1_LD2_PD_Current,262
1643116935036000,MO1_LD_TEC,22.001997
1643116935036000,MO1_LD_TEC_V,0.419342
1643116935036000,MO1_LD_TEC_I,-0.534007
1643116935036000,MO1_CRYSTAL_TEC,36.998718
1643116935036000,MO1_CRYSTAL_TEC_V,0.290023
1643116935036000,MO1_CRYSTAL_TEC_I,0.057778
1643116935036000,MO1_CASE_TEC,21.459
1643116935036000,MO1_CASE_TEC_V,-0.67
1643116935036000,MO1_CASE_TEC_I,-0.27
1643116935036000,MO1_PD_Current,5591
1643116935036000,MO_POWER_RAW,0.136255
1643116935036000,uNPRO_Lid_Pumps,21.556351
1643116935036000,uNPRO_Lid_XTAL,21.463247
1643116935036000,uNPRO_LID_OPTAP,21.721572
1643116935036000,uNPRO_Snout,21.654766
1643116935036000,Baseplate_at_Snout,19.365867
1643116935036000,Breadboard_Snout+135deg,19.240627
1643116935036000,Baseplate_Snout+135deg,19.353288
1643116936048000,ELAPSED_SEC,20.817
1643116936048000,SCAN_INDEX,-1
1643116936048000,ANALOG_TUNE_A,0
1643116936048000,ANALOG_TUNE_B,0
1643116936048000,UPS_LOAD_%,0
1643116936048000,UPS_STATUS, 10000
1643116936048000,MO1_LD1_CURR,400
1643116936048000,MO1_LD2_CURR,399.9
1643116936048000,MO1_LD1_VOLT,2.087
1643116936048000,MO1_LD2_VOLT,2.087
1643116936048000,MO1_LD1_PD_Current,276
1643116936048000,MO1_LD2_PD_Current,262
1643116936048000,MO1_LD_TEC,22.001997
1643116936048000,MO1_LD_TEC_V,0.419342
1643116936048000,MO1_LD_TEC_I,-0.534007
1643116936048000,MO1_CRYSTAL_TEC,36.998718
1643116936048000,MO1_CRYSTAL_TEC_V,0.290023
1643116936048000,MO1_CRYSTAL_TEC_I,0.057778
1643116936048000,MO1_CASE_TEC,21.503
1643116936048000,MO1_CASE_TEC_V,-0.23
1643116936048000,MO1_CASE_TEC_I,-0.03
1643116936048000,MO1_PD_Current,5591
1643116936048000,MO_POWER_RAW,0.136272
1643116936048000,uNPRO_Lid_Pumps,21.549745
1643116936048000,uNPRO_Lid_XTAL,21.467517
1643116936048000,uNPRO_LID_OPTAP,21.721379
1643116936048000,uNPRO_Snout,21.656402
1643116936048000,Baseplate_at_Snout,19.366381
1643116936048000,Breadboard_Snout+135deg,19.24095
1643116936048000,Baseplate_Snout+135deg,19.354024
1643116937059000,ELAPSED_SEC,21.828
1643116937059000,SCAN_INDEX,-1
1643116937059000,ANALOG_TUNE_A,0
1643116937059000,ANALOG_TUNE_B,0
1643116937059000,UPS_LOAD_%,0
1643116937059000,UPS_STATUS, 10000
1643116937059000,MO1_LD1_CURR,400
1643116937059000,MO1_LD2_CURR,399.9
1643116937059000,MO1_LD1_VOLT,2.087
1643116937059000,MO1_LD2_VOLT,2.087
1643116937059000,MO1_LD1_PD_Current,276
1643116937059000,MO1_LD2_PD_Current,262
1643116937059000,MO1_LD_TEC,21.999462
1643116937059000,MO1_LD_TEC_V,0.427713
1643116937059000,MO1_LD_TEC_I,-0.547683
1643116937059000,MO1_CRYSTAL_TEC,37.000126
1643116937059000,MO1_CRYSTAL_TEC_V,0.285317
1643116937059000,MO1_CRYSTAL_TEC_I,0.056881
1643116937059000,MO1_CASE_TEC,21.518
1643116937059000,MO1_CASE_TEC_V,-0.23
1643116937059000,MO1_CASE_TEC_I,-0.04
1643116937059000,MO1_PD_Current,5591
1643116937059000,MO_POWER_RAW,0.136205
1643116937059000,uNPRO_Lid_Pumps,21.540136
1643116937059000,uNPRO_Lid_XTAL,21.47257
1643116937059000,uNPRO_LID_OPTAP,21.721553
1643116937059000,uNPRO_Snout,21.65748
1643116937059000,Baseplate_at_Snout,19.367476
1643116937059000,Breadboard_Snout+135deg,19.241342
1643116937059000,Baseplate_Snout+135deg,19.354537
1643116938069000,ELAPSED_SEC,22.838
1643116938069000,SCAN_INDEX,-1
1643116938069000,ANALOG_TUNE_A,0
